match_id,match_date,league,home_team,away_team,actual_result,best_value_pick,model_probability,market_probability,edge,market_odds,fair_odds,expected_value,correct,home_edge,draw_edge,away_edge
1,2026-08-14 18:00:00,UEFA Europa League,KI Klaksvik,Lech Poznan,AWAY,HOME,54.469061498750804,19.247542316505285,35.22151918224552,4.75,1.8359045896594604,158.72804211906632,False,35.22151918224552,3.2245169176810724,-38.44603609992661
2,2026-08-15 17:30:00,La Liga,Alaves,Getafe,HOME,HOME,56.620119123597256,40.552283479772136,16.067835643825116,2.35,1.7661566515200697,33.057279940453554,True,16.067835643825116,-6.339598877865916,-9.728236765959203
3,2026-08-15 19:30:00,La Liga,Sevilla,Rayo Vallecano,HOME,AWAY,35.4748433168546,29.712460063897762,5.762383252956843,3.2,2.8188989901045898,13.519498613934733,False,-0.35157283801574013,-5.410810414941103,5.762383252956843
