bucket,matches,average_confidence,observed_accuracy,calibration_gap
<35,4,34.39350134820235,25.0,9.39350134820235
35-39.9,69,38.05716777225377,36.231884057971016,1.8252837142827545
40-44.9,78,42.75836118075503,52.56410256410257,-9.805741383347538
45-49.9,43,47.51466981878559,46.51162790697674,1.0030419118088503
50-54.9,39,52.18478944393524,64.1025641025641,-11.917774658628865
55-59.9,34,57.50861094030182,52.94117647058824,4.567434469713582
60-69.9,16,64.45759263576313,68.75,-4.292407364236865
